Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encrypted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoD4PTWD5N7TXmbwxZMw8YZHffyfBcc0dqUqtg5iy9r0xn68Ke5ACktOtmA1G4PBttFWN9wL6L48E4fKbFTb66OB1YD9pHAo76N9Bsem3kWDe607Y=,gAAAAABoD4PTgaBP1i6i8nMVAxLvflsg3NLx0AKme7HtrIuT8ynVCpa4OCIsiwYVqVxcjLN5Fu8Kd8nkcOxJxR9yXXpZy4XPTQ==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoD4PTfya-IHPHgwlDvXoMkNaWbjQMO7RN7P6ZgeO7pOlYJu15jzV9pHudgviZc9PCuDTslsWIZrleFzijKcExSZDNCdlfSdR3l4nmrrEdJFVGbWs=,gAAAAABoD4PT9xtg5DNjRT4-yDT7xHM2iQBla6_eC-6rZuxWTcV8VQ_hafRREAp7S3XOYgAVN-5epc0t7T8OlZGsMxvI05ZhOg==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoD4PTBfmbyREVqSwq39fYroLbcLh5dOBV0GNXuVxSwqwtqNNOA9t1YMJfxqKsEzHNHM9NHd2OkkqsiLH81YYwUBRTcyiNyp2HxQ_ifti_HnDMIKU=,gAAAAABoD4PTVafTbMQPL95_0HQjDcZHI1db86gtyWDpo2xGfboDJBsLHEKpvz3tZmuDQWZ6ePR9VVDQM1Okx_Bc0-LdYZBq6Q==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoD4PT7OB-2opq248mknnDx5iC43vdMfQYSv9CyUoDS3ZoG5zqVGY-60WVE6q5IK9IwDEZ0FyOxCDrNhGQN0jYjSQYQrENpWlkoLB8Iums19RL5lE=,gAAAAABoD4PTgNb5sAzsA0aXFYQavM_XP55scTxLfeRTsP5KTN6hZeEsTMXpziK44eG_60re_CS8MbMYGfRKtoi7t73tRGANmw==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoD4PTSf00zGSddkP1iODtFc2VLoLUcHSQDrzrolV6ktoO6yuKLmSDbpFgeVo0pdfrPXu1w1cSHuu8ilAbjPXoZcBrfXSOyeDDZL77W8T3xKNH1T8=,gAAAAABoD4PTrQLIPGXcJ3keMQNs8OqsO-9b_TxbLJwB1QI1i4t1_Fhg8IbYw3BasZsNX24Pok2FMCEfpegc4yKr2Y5LTpuPfg==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoD4PT1UE9hCGecAv6-x_QbHvQja9qor2eI8yTnuU40KmPhvXB8vBqR5el9mSpe2WntHwEX3r3ixRzEgi_w61I3-46PckZ76zw479OliyuuMj6Els=,gAAAAABoD4PT4tVsH_2zdihqO5jRDBGs66cZB4IJNvrmC7TgTY3gdh6Uge_vIcF3i4-hOMNfrrgjxGoDLOrKbgtD3WTDkBRbJw==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABoD4PT5XCGBNoldFZSPC3J729nel0LyvFtu-kThFAyJG_azyoLLZknXBilEOJeZK05XYpdrSApQS-8L_SKS_b-lhkdL0Eoe0d-Qft99FCppnvmC3c=,gAAAAABoD4PTxgR3JlBf8OEI514ti8iCk8-JqoHoDXMEV_gc-dwkP_id5yyuKhMA7pIXnma3fLY1hlIms446mFONHFdNDeOaEQ==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoD4PTAeR_qq-BGY2CKbBi0qnsKNwFzYgUJYnQNjFlEy7HmGlz__dT68zLtd6P8JQ7kShV77d2O7JUS8dCO7m8_jSJq-W453O6hEsYtN4Tw3rcDU0=,gAAAAABoD4PT8cWsl829uVpLGuE3IApFA5UA2IgF6ErisczRr_0hxV1vaNobf9uXc2RRiRtpAdu1GZIvEppmA85Xb268kX702w==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoD4PTzJrDpDc3q8mmzUAhQpkKCXT7-zon7dTXaXNEJrKIJPFzhr9LYZ8uvLC7LiwvkpqqZFl56ZM5B_Vre2aSuAyqI3PbyNLxe7sxEAjg5pyFkjI=,gAAAAABoD4PT9Q9Xzb-N47mrBtsYZ28AS1Nprq3y9oWGL7bKpfBFuuXwE33ENtgbGd42c9HiBiGWOYrfutTck_DjwrbpyJm4KA==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABoD4PTn3Dilb2fxgEtMMg3MTP0t5mbvkOXfcPpdFTnGMWKUOFDhN0dxyI-wNBWYPDHi1jcyHilxfwl7kbP4jhPE_ZG0SYpber591_kVdneq7tx4tM=,gAAAAABoD4PTVwCQCXk7TO1SIfRgFSIJS-q90oJ6ucb4PNhGZWE3GV63YE9J0J4ivQAQGUkcMXq86VURq-l2N03eiQy0QviF7A==
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,gAAAAABoD4PTK4mDHfaDi7V-fhMkgCmPiNZiu1XiJcaBDRZFY3PseynvMbOZj4DwZUc7LFlWmzoDG0D7BT3Lh3NiojVoFpvp9oL1TLyT1WnkNiFZJtzOBaE=,gAAAAABoD4PT040SqIk9Tw73rlDt3ZYvX5li1yB08zECE7GUxIF8n6xcNts7PJn5Xd0p5KvGgaHtcKGwCEyBI59n3uCqSu_QEw==
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,gAAAAABoD4PT-vWCUDXVtWuF20LEX4BbNcut8J4Fej--YQmKPibr5bkvv0QW26ZCGmit0N8pRd3Tyufzogt7SY5PcAtrpsHR-nSuVM8WExkihM7Zfzj0o1I=,gAAAAABoD4PTM6Plydy6OnmjKgG4fcXUzZB13HyCamrtugii5YHwKgNKfLu2xCbnH1luGRXHN0bPWmejrFb9vPKm5Tce8nfCKw==
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,gAAAAABoD4PTib_8QLpGpl_L91VSvqXN821ypkgue5q409TvZPfw9V62kkqqs4Sf4V6MDtF69dct1Ry4YI4O8tqWKUjr9w8TmxhGg2VXu_hVl7NYqII4aWk=,gAAAAABoD4PTksP8qzZ5QQRB95mT2-2as-6AoU5MGoRTRL4D19V7qntqwoL-sKd7ztChaoIqyALmiNuRcTBApxdw1tCBOQsNtQ==
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,gAAAAABoD4PTshEVgvIP1L3Kj0nK1N3QEyGEiiHhaaLQUYEjObIY1ezE89gurAAq0gAwvtiVdZStLtfJ3dxdjXizHtJ8p4xc-jJjUrQcPFMErdlt8h3KLps=,gAAAAABoD4PTLSb9sidBkaKpt--woIP5q2MXnev-QIVmzpTvnzLYRoy0eui9OZhzD3jD46km-DJwNCsdhQudMW3s6UFleISRcg==
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,gAAAAABoD4PTYmqwop_h2TzJXaHWTUfkzpyiWvvQYpQxFO3_hSeAlFPwal97HfvfTfXrd8bP10RcONrOebZ0jhJaZZQtfJrZFjrFUmXmLmbLtZ8BqOgxZgk=,gAAAAABoD4PTOM6vI0T4aZ2YJPhfGxt1pWVDy6r25nzSu__cSyMlScA4IWdzw_n9CJI7Cp7gsHIlTpE98gmBpilU3znTF1UZ3w==
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,4420f8ed435ae6dc11e3dc607559dac0f8f97e03fb44dfdbee0d3cad3dfdba7e,gAAAAABoD4PTiF8i3LLCSBDfV3qFBKQzISziNPDZhctnVaIMVamC68skVNQ85vy30PMq8BAe84ab4t1_MhaqTJEJgOGaigDgrsiO4mQUFx7i4fCj6lCi1o8=,gAAAAABoD4PTaYa3nLx--3OZix6dLRX7NrrbXEhyTVGlBFelJvkr4QCPQLP8GMso-Le1-DivasUj3L63kjGJML0ipD7VI5Siwg==
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,da2d995346a35c31f2cb036ddd79a0f5a9a4140da81b88c8c7419a60fef40691,gAAAAABoD4PTDktLe-P1fhQCMIDRT7U6ePl4O4NpEdMZwZN7IdYSEd4t_5Gy5TI-wTqU1vb7sDXGXMXMs_dPgzT_H4f4IuPfFWjqL1C083iUOTWc4kvxLSA=,gAAAAABoD4PT6v1lppjxz71TaCpJugsA8CMTBRBAYw2alzTi3GpezaMn9MvL2BhUWHKn5F4XkF49RG6ApD5UgltsQqLLbIS65A==
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,d8763bc92b2968e21aba7a08f16922ca22d9c5248a821c374ced1c8603cde768,gAAAAABoD4PTResVkgBC1uvLZyVc_VudciDDYm0msh9o-R9xzOS2whrIWqPPjeRBxSDcaYVtyY1hgHb6PdizLu31M_iCpVNTtR4HfQO7EEj6P785Hh2n-dI=,gAAAAABoD4PTn_Kke-QAcBrIrYCb31VsY9rzvW-1mjNKeAoI-7YWwLwzQtUjgFq8O4k8MS9fYdaciJU4fTpkRcMeyKhMMJ7wjg==
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,00efcb1507b5ab10a2e80b37f59ea694bd3b66f7ad09eb9310f3cf9b61bbc826,gAAAAABoD4PTTNtD1D1sR5KyUDMI22VL-9zM6Vpo_E9LAAiGiCWDEL_oouT1OuFhCtub1jy3iqXHbnX1-qTu3Ua4PssQoWd-Mwz_1HaPmVghMeoimI2Oolw=,gAAAAABoD4PTPRTOmB6SGd84xj9ko-NZ2Pn9sLabg0ZbfbxUiw3YyCshAkFmUzzZhx5ue3H8EhtoHnwTZwz90l7lZC1u8GHcFQ==
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,930869f03827b8fa2e51641ee24f5bddb5e01a20a0d0575dad7f009c3f54e02d,gAAAAABoD4PTLUlH-GQ-sdNgT3qXJmLasQNSSwzqaZvNQhXQrDn_6Qjexf7lUmF1l0asI2W_5ldjzEiUKaJJDmSCREKwjPkPuASYjPuZ6kdbCiZ22IiWaww=,gAAAAABoD4PTOSrWI3vVLoXVbMsZVinpWISdeku4d5FN4fsSCW7csc_yN0ZCYkjcx25CxOPB-VsBu2Kx40bqqDc4t3CtEZvyBw==
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,02ef9675ecf6c0700c0986428113b2d9f188e11c68256e5bffd9d5d19577984c,gAAAAABoD4PTCsbA0ZnySyhRF29HME6Asnl0Lb2_s2Bnv8IZ5VBUY_BbRv7Y2gSBS6p8cnlkyvIkf_pFu4bdk3OEznVI0TXbwBvLup40e7OHoEkG3PLCnYI=,gAAAAABoD4PTLjcytO_MgJjbH0JIZIUeNMQKBrv6CXoNhFL-ia9JLnOJ50xJTY5xtvVSMGOiNRbjC2ZVjHTqBf8UeQ64MwzHbQ==
Acer,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144,fb3010b57354259609e2272ea204296bd8b47c3d478f52bcd58c35afae20ee9b,gAAAAABoD4PTQ4eAn3ioGB6_SAYq5HOYp3ocn6Uxb-Lwv7_OxEHqcGofmIRtJM9uWxyy5-jSvnC9H5rqDX17rJwu_unK5ojjeEWEUvHT8lrLnmn42DX540s=,gAAAAABoD4PTbr2HfcJ_XyAbSHg7EJ3yJMw2l6VP-KirGS_X1wj9aK1w4Iw4lzYfuYbAg0eJCueebOyItbyDALOV1uoLZeKR8w==
Asus,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796,cbae35da1050476bf6a78fd4f3dced832ea62d45e530cfadb2ef28a46a34e3e0,gAAAAABoD4PTTUfXduWRTCkvoRcJQ53K0UcfTY0HamheH28tsMhoxVURFcDCuBtKWl-2uqpKSPvhLKaUIUwFGkv3gb2WC-QXCTCUW7dYPdycoKtQkw4iPKk=,gAAAAABoD4PTsDICKJqescOXXl40wNVQSh1aOgQViH3jvnJr6dRdfpxSgOWtKjzCT1GrivuRshVnabh4SoJooAu9eLEBFO0FjQ==
Dell,2.3379931041147524,16,1000,14.353883804598643,2.665345934576956,32114.82080257049,ed452aaa31a310735f7ffcd56cb9248651bd8acbd6c69fb96fafc6953236dd84,gAAAAABoD4PTWrI1IM4CGZGQkQH1fKcIa-n-pg5R08ZADlCwONQKv1mX0jKNCbOH9lCN9DDZaFTS0GDfG-xfFnKAzTVGQRimtW5XUZ6_eoAVX3Bc46KDwE8=,gAAAAABoD4PT3Qnl6s2OjvFMH0HnGWJZWfNCLj2h_U6SAEmtZWUn560jaEY2pNLz5_YElZ30MkOHWzEfao1zyb5Az7IhZTpLng==
Dell,3.5071336214950284,16,256,14.006527281573184,2.9526637396085054,9929.514355970863,dec7b1d514c07bbe63b2c519099c481a97e24d85c32cac666b144707e78c6661,gAAAAABoD4PTmK_dAn9srnGrOy4Bz4Cwe9ZVruvZi9vS-3mkr0nrzgdJ7qeoMSWNPmzReCmgI8B3ibqqBSSfG6Pij5gQ38rZ-4HKJVSYbEO1g3ufHrjI-j0=,gAAAAABoD4PTGvZMGczacwkr_9Nkt3f3JqC8iAGOdAAuYO1BMB2wfptFzBdaVINZZjCgC-4j0lzTWLX_Iw_27yGVV-UnPG2-fA==
